蚂蟥养殖,#genre#
宝鸡新闻 ,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226383/index.m3u8
昌乐新闻,http://livealone302.iqilu.com/changle/changle_tv01/index.m3u8
哈尔滨新闻,http://39.134.65.162/PLTV/88888888/224/3221225684/index.m3u8
厦门-2,http://112.50.243.8/PLTV/88888888/224/3221226777/1.m3u8
都市剧场,http://112.17.40.140/PLTV/88888888/224/3221226825/index.m3u8
江苏卫视,http://223.110.243.172/PLTV/1/224/3221227552/index.m3u8
天津卫视,http://223.110.243.135/PLTV/1/224/3221227488/index.m3u8
黑龙江卫视,http://223.110.243.136/PLTV/1/224/3221227514/index.m3u8
黑龙江卫视,http://223.110.245.138/PLTV/1/224/3221227514/index.m3u8
安徽卫视,http://223.110.245.172/PLTV/1/224/3221227558/index.m3u8
东方卫视,http://223.110.245.136/PLTV/1/224/3221227511/index.m3u8
北京卫视,http://223.110.243.170/PLTV/1/224/3221227508/index.m3u8
深圳卫视,http://223.110.243.138/PLTV/1/224/3221227555/index.m3u8
湖南卫视,http://223.110.243.170/PLTV/1/224/3221227482/index.m3u8
湖南卫视,http://223.110.245.135/PLTV/1/224/3221227482/index.m3u8
湖南卫视,http://223.110.245.169/PLTV/1/224/3221227482/index.m3u8
湖南卫视,http://183.207.249.35/PLTV/3/224/3221227191/index.m3u8
浙江卫视,http://223.110.245.136/PLTV/1/224/3221227491/index.m3u8
辽宁卫视,http://183.207.249.8/PLTV/1/224/3221227485/index.m3u8
山东卫视,http://223.110.243.170/PLTV/1/224/3221227517/index.m3u8
广东卫视,http://223.110.245.172/PLTV/1/224/3221227476/index.m3u8
湖北卫视,http://223.110.243.168/PLTV/1/224/3221227479/index.m3u8
湖北卫视,http://223.110.243.170/PLTV/1/224/3221227479/index.m3u8
湖北卫视,http://223.110.245.168/PLTV/1/224/3221227479/index.m3u8
厦门卫视,http://112.50.243.8/PLTV/88888888/224/3221226781/1.m3u8

南国都市,http://aplay.gztv.com/sec/shenghuo.m3u8
河南卫视,http://39.134.230.196:9090/39.134.213.85/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226162/index.m3u8
4K音乐现场,http://jxgz.jilu8.cn/PLTV/88888888/224/3221225978/2/index.m3u8?fmt=ts2hls

北京卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221225574/index.m3u8
东方卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227597/index.m3u8
广东卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227249/index.m3u8
浙江卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227491/index.m3u8
湖南卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227482/index.m3u8
湖北卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227565/index.m3u8
黑龙江台,http://ott.js.chinamobile.com/PLTV/3/224/3221227492/index.m3u8
江苏卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227561/index.m3u8
江西卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221225536/index.m3u8
辽宁卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227485/index.m3u8
山东卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227517/index.m3u8
浙江卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221225544/index.m3u8
陶瓷工艺,http://ott.js.chinamobile.com/PLTV/3/224/3221227365/index.m3u8

江苏卫视,http://211.137.115.110:8080/gitv_live/G_JIANGSU-MD/G_JIANGSU-MD.m3u8
浙江卫视,http://211.137.115.110:8080/gitv_live/G_ZHEJIANG-MD/G_ZHEJIANG-MD.m3u8
天津卫视,http://211.137.115.110:8080/gitv_live/G_TIANJIN-MD/G_TIANJIN-MD.m3u8
广东卫视,http://211.137.115.110:8080/gitv_live/G_GUANGDONG-MD/G_GUANGDONG-MD.m3u8
湖北卫视,http://211.137.115.110:8080/gitv_live/G_HUBEI-MD/G_HUBEI-MD.m3u8
湖南卫视,http://211.137.115.110:8080/gitv_live/G_HUNAN-MD/G_HUNAN-MD.m3u8
深圳卫视,http://211.137.115.110:8080/gitv_live/G_SHENZHEN-MD/G_SHENZHEN-MD.m3u8
安徽卫视,http://211.137.115.110:8080/gitv_live/G_ANHUI-MD/G_ANHUI-MD.m3u8
辽宁卫视,http://211.137.115.110:8080/gitv_live/G_LIAONING-MD/G_LIAONING-MD.m3u8
黑龙江卫视,http://211.137.115.110:8080/gitv_live/G_HEILONGJIANG-MD/G_HEILONGJIANG-MD.m3u8
山东卫视,http://211.137.115.110:8080/gitv_live/G_SHANDONG-MD/G_SHANDONG-MD.m3u8
东方卫视,http://211.137.115.110:8080/gitv_live/G_DONGFANG-MD/G_DONGFANG-MD.m3u8
北京卫视,http://211.137.115.110:8080/gitv_live/G_BEIJING-MD/G_BEIJING-MD.m3u8



甘肃卫视,http://117.156.28.119/270000001111/1110000072/index.m3u8
甘肃影视,http://117.156.28.119/270000001111/1110000067/index.m3u8
甘肃都市,http://117.156.28.119/270000001111/1110000068/index.m3u8
甘肃经济,http://117.156.28.119/270000001111/1110000070/index.m3u8
甘肃少儿,http://117.156.28.119/270000001111/1110000071/index.m3u8



山东综艺,http://120.221.44.101:8089/PLTV/88888888/224/3221225855/index.m3u8
山东影视,http://120.221.44.101:8089/PLTV/88888888/224/3221225802/1.m3u8
山东齐鲁,http://120.221.5.102:8089/PLTV/88888888/224/3221226045/1.m3u8
山东齐鲁,http://120.221.5.107:8089/PLTV/88888888/224/3221226045/index.m3u8
山东体育,http://120.221.5.168:8089/PLTV/88888888/224/3221226075/index.m3u8
山东综艺,http://120.221.5.105:8089/PLTV/88888888/224/3221225855/index.m3u8
山东生活,http://120.221.5.101:8089/PLTV/88888888/224/3221225841/index.m3u8
山东公共,http://120.221.5.101:8089/PLTV/88888888/224/3221226077/index.m3u8
